sample_id,A_cov_ref,A_cov_gen,signature_ref,signature_gen
1569,0.143838,0.039988,ALIGNED,MIXED
53812,0.130844,0.052644,ALIGNED,MIXED
3264,0.080171,0.087181,MIXED,MIXED
63604,0.074639,-0.009363,MIXED,MIXED
37920,0.178661,-0.024413,ALIGNED,MIXED
69891,0.228458,0.057141,ALIGNED,MIXED
37130,0.104485,0.043888,ALIGNED,MIXED
13036,0.110968,0.059124,ALIGNED,MIXED
23942,0.093097,0.024267,MIXED,MIXED
44464,0.117681,0.027484,ALIGNED,MIXED
1306,0.068714,0.078717,MIXED,MIXED
21717,0.088607,0.069854,MIXED,MIXED
72209,0.078902,-0.009006,MIXED,MIXED
34133,0.0785,0.019544,MIXED,MIXED
45524,0.214772,0.062477,ALIGNED,MIXED
4618,0.216628,0.024563,ALIGNED,MIXED
22833,0.039489,0.030357,MIXED,MIXED
21399,0.134658,0.097972,ALIGNED,MIXED
35632,0.193506,-0.010112,ALIGNED,MIXED
1298,0.148969,0.04156,ALIGNED,MIXED
61955,0.150545,0.016912,ALIGNED,MIXED
57600,0.125794,0.079413,ALIGNED,MIXED
8926,0.151944,0.098213,ALIGNED,MIXED
55940,0.080046,0.059076,MIXED,MIXED
6455,0.177401,0.076504,ALIGNED,MIXED
62108,0.09766,0.0279,MIXED,MIXED
67310,0.092754,0.023883,MIXED,MIXED
57720,0.182195,0.029313,ALIGNED,MIXED
32257,0.066079,0.186074,MIXED,ALIGNED
4716,0.084789,-0.016643,MIXED,MIXED
69767,0.043073,0.089322,MIXED,MIXED
72783,0.155979,0.036017,ALIGNED,MIXED
22399,0.109983,0.027275,ALIGNED,MIXED
9255,0.081927,0.010239,MIXED,MIXED
15551,0.085791,0.018401,MIXED,MIXED
52053,0.108895,0.01234,ALIGNED,MIXED
23908,0.183477,0.046566,ALIGNED,MIXED
20317,0.119506,0.076095,ALIGNED,MIXED
54865,0.2091,0.034957,ALIGNED,MIXED
31546,0.141444,0.026224,ALIGNED,MIXED
59554,0.209194,0.031832,ALIGNED,MIXED
47980,0.124099,0.001139,ALIGNED,MIXED
17785,-0.05522,0.068667,MIXED,MIXED
60016,0.243859,0.031478,ALIGNED,MIXED
51082,0.162235,-0.003359,ALIGNED,MIXED
72725,0.087016,0.037368,MIXED,MIXED
21141,0.152287,0.049649,ALIGNED,MIXED
8297,0.181704,-0.010035,ALIGNED,MIXED
31322,0.144058,0.021156,ALIGNED,MIXED
70338,0.079835,0.107885,MIXED,ALIGNED
48427,0.182717,-0.006956,ALIGNED,MIXED
5884,0.196726,0.065869,ALIGNED,MIXED
50446,0.19312,0.11137,ALIGNED,ALIGNED
31481,0.170468,0.077815,ALIGNED,MIXED
6356,0.07498,0.042151,MIXED,MIXED
47905,0.07177,0.012237,MIXED,MIXED
41635,0.055554,0.036784,MIXED,MIXED
24338,0.116471,0.079248,ALIGNED,MIXED
